model,region,code,family,genus,species,parameter,estimate,na_genus
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bbranches3,-1.4218,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bfoliage1,0.2048,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bfoliage2,2.574,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bfoliage3,-1.3704,FALSE
DBHHT,"CA-ON, CA-QC",TSUG.CAN,Pinaceae,Tsuga,canadensis,bwood1,0.0257,FALSE
DBHHT,"CA-ON, CA-QC",TSUG.CAN,Pinaceae,Tsuga,canadensis,bwood2,1.9277,FALSE
DBHHT,"CA-ON, CA-QC",TSUG.CAN,Pinaceae,Tsuga,canadensis,bwood3,0.8576,FALSE
DBHHT,"CA-ON, CA-QC",TSUG.CAN,Pinaceae,Tsuga,canadensis,bbark1,0.0118,FALSE
DBHHT,"CA-ON, CA-QC",TSUG.CAN,Pinaceae,Tsuga,canadensis,bbark2,1.9893,FALSE
DBHHT,"CA-ON, CA-QC",TSUG.CAN,Pinaceae,Tsuga,canadensis,bbark3,0.47,FALSE
DBHHT,"CA-ON, CA-QC",TSUG.CAN,Pinaceae,Tsuga,canadensis,bbranches1,0.0215,FALSE
DBHHT,"CA-ON, CA-QC",TSUG.CAN,Pinaceae,Tsuga,canadensis,bbranches2,2.6553,FALSE
DBHHT,"CA-ON, CA-QC",TSUG.CAN,Pinaceae,Tsuga,canadensis,bbranches3,-0.4682,FALSE
DBHHT,"CA-ON, CA-QC",TSUG.CAN,Pinaceae,Tsuga,canadensis,bfoliage1,0.1471,FALSE
DBHHT,"CA-ON, CA-QC",TSUG.CAN,Pinaceae,Tsuga,canadensis,bfoliage2,2.0108,FALSE
DBHHT,"CA-ON, CA-QC",TSUG.CAN,Pinaceae,Tsuga,canadensis,bfoliage3,-0.608,FALSE
DBHHT,CA-ON,JUNI.VIR,Cupressaceae,Juniperus,virginiana,bwood1,0.052,FALSE
DBHHT,CA-ON,JUNI.VIR,Cupressaceae,Juniperus,virginiana,bwood2,1.7731,FALSE
DBHHT,CA-ON,JUNI.VIR,Cupressaceae,Juniperus,virginiana,bwood3,0.7054,FALSE
DBHHT,CA-ON,JUNI.VIR,Cupressaceae,Juniperus,virginiana,bbark1,0.0283,FALSE
DBHHT,CA-ON,JUNI.VIR,Cupressaceae,Juniperus,virginiana,bbark2,1.7079,FALSE
